,price,size,rooms,bathrooms,municipality,distance,floor,hasLift,propertyType_chalet,propertyType_countryHouse,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,exterior_True
129,730.0,70.0,3,1,689.0655122002563,18781.0,697.6398926981135,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
130,730.0,52.0,2,1,705.6331317949237,8827.0,710.7463805527138,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
131,740.0,64.0,2,1,705.6331317949237,8365.0,697.6398926981135,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
132,720.0,65.0,2,1,705.6331317949237,7511.0,696.0917641954768,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
133,720.0,63.0,2,1,693.2021808922763,19731.0,696.0917641954768,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
134,740.0,54.0,2,1,705.6331317949237,6636.0,701.6979621920462,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
135,720.0,52.0,2,1,696.1649909275795,12695.0,697.6398926981135,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
136,730.0,45.0,2,1,705.6331317949237,4385.0,697.6398926981135,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
137,600.0,80.0,1,1,705.6331317949237,7223.0,670.4163818553365,-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
138,600.0,80.0,1,1,705.6331317949237,7141.0,670.4163818553365,-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
139,725.0,71.0,2,1,697.87082586322,23158.0,701.6979621920462,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
140,675.0,76.0,3,1,688.6004048272027,43485.0,696.0917641954768,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
141,750.0,54.0,1,1,701.4047554950265,15834.0,697.6398926981135,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
142,750.0,79.0,2,2,695.799965670853,34697.0,701.6979621920462,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
143,700.0,54.0,1,1,705.6331317949237,3354.0,696.0917641954768,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
144,750.0,54.0,2,1,705.6331317949237,8322.0,697.6398926981135,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
145,730.0,48.0,2,1,705.6331317949237,6997.0,697.6398926981135,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
146,650.0,61.0,2,1,699.6096264559128,28605.0,710.7463805527138,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
147,730.0,63.0,2,1,705.6331317949237,7893.0,701.6979621920462,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
148,720.0,50.0,2,1,705.6331317949237,7041.0,696.0917641954768,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
149,720.0,51.0,2,1,705.6331317949237,6973.0,701.6979621920462,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
150,750.0,47.0,2,1,705.6331317949237,4538.0,701.6979621920462,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
151,730.0,50.0,2,1,705.6331317949237,7411.0,697.6398926981135,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
152,730.0,40.0,2,1,705.6331317949237,4201.0,696.0917641954768,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
153,670.0,67.0,2,1,686.0797448849435,25100.0,701.6979621920462,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
154,740.0,52.0,2,1,705.6331317949237,4862.0,697.6398926981135,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
155,720.0,69.0,2,1,699.6096264559128,29084.0,701.6979621920462,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
156,750.0,59.0,2,1,705.6331317949237,8400.0,710.7463805527138,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
157,740.0,45.0,2,1,705.6331317949237,7720.0,697.6398926981135,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
158,740.0,60.0,2,1,705.6331317949237,6670.0,701.6979621920462,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
159,730.0,45.0,0,1,705.6331317949237,854.0,670.4163818553365,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
160,620.0,75.0,3,1,697.3742686460787,21044.0,670.4163818553365,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
161,695.0,67.0,2,1,695.3383304099759,16111.0,670.4163818553365,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
162,650.0,95.0,3,1,693.7070431636203,29884.0,670.4163818553365,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
163,675.0,68.0,2,1,699.6096264559128,30461.0,670.4163818553365,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
164,695.0,65.0,2,1,705.6331317949237,8484.0,670.4163818553365,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
165,675.0,35.0,1,1,705.6331317949237,1016.0,670.4163818553365,-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
166,730.0,60.0,3,1,697.3742686460787,20756.0,697.6398926981135,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
167,690.0,85.0,2,1,697.3742686460787,20804.0,670.4163818553365,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
168,750.0,45.0,1,1,705.6331317949237,5089.0,678.6636365033631,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
169,600.0,32.0,0,1,705.6331317949237,6325.0,701.6979621920462,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0
170,723.0,25.0,0,1,697.678872980834,16775.0,670.4163818553365,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0
171,725.0,50.0,1,1,705.6331317949237,10503.0,701.6979621920462,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
172,750.0,67.0,3,1,696.1649909275795,11657.0,670.4163818553365,-1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
173,600.0,45.0,2,1,680.8257734019426,41003.0,670.4163818553365,-1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
174,750.0,70.0,3,1,701.0123730059954,14642.0,696.0917641954768,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
175,720.0,54.0,1,1,705.6331317949237,3296.0,678.6636365033631,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
176,720.0,49.0,3,1,705.6331317949237,8411.0,697.6398926981135,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
177,740.0,65.0,3,1,705.6331317949237,8443.0,701.6979621920462,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
178,720.0,56.0,2,1,705.6331317949237,6691.0,710.7463805527138,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
179,650.0,31.0,1,1,705.6331317949237,1207.0,697.6398926981135,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
180,650.0,96.0,2,1,681.6927156331628,43953.0,697.6398926981135,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
181,690.0,64.0,2,1,699.6096264559128,30634.0,678.6636365033631,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
182,750.0,25.0,0,1,705.6331317949237,3177.0,698.291590668491,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0
183,725.0,45.0,1,1,705.6331317949237,10508.0,696.0917641954768,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
184,620.0,85.0,1,1,689.0655122002563,19767.0,678.6636365033631,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
185,590.0,52.0,1,1,679.5246886583126,44526.0,678.6636365033631,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
186,750.0,80.0,0,1,701.0123730059954,20818.0,701.6979621920462,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0
187,720.0,36.0,0,1,705.6331317949237,5975.0,696.0917641954768,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0
188,700.0,82.0,2,1,690.3735431384588,42463.0,697.6398926981135,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
189,692.0,83.0,2,2,693.2021808922763,20294.0,670.4163818553365,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
190,670.0,79.0,2,2,693.2021808922763,20294.0,670.4163818553365,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
191,609.0,56.0,1,1,699.6096264559128,30186.0,678.6636365033631,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
192,718.0,86.0,2,2,693.2021808922763,20294.0,670.4163818553365,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
193,694.0,81.0,2,2,693.2021808922763,20294.0,670.4163818553365,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
194,658.0,78.0,2,2,693.2021808922763,20294.0,670.4163818553365,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
195,750.0,36.0,2,1,705.6331317949237,3620.0,696.0917641954768,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
196,723.0,88.0,2,2,693.2021808922763,20294.0,670.4163818553365,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
197,728.0,91.0,2,2,693.2021808922763,20294.0,670.4163818553365,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
198,650.0,28.0,0,1,705.6331317949237,4920.0,678.6636365033631,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
199,750.0,60.0,2,1,699.6096264559128,29663.0,701.6979621920462,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
200,735.0,60.0,3,1,697.3742686460787,20886.0,710.7463805527138,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
201,699.0,78.0,2,1,699.0963030617975,27684.0,696.0917641954768,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
202,725.0,67.0,3,1,697.3559416462749,17191.0,710.7463805527138,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
203,740.0,77.0,3,2,699.6096264559128,28385.0,678.6636365033631,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
204,720.0,73.0,1,1,695.799965670853,34761.0,696.0917641954768,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
205,750.0,79.0,3,1,696.1649909275795,11728.0,690.1951758466795,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
206,710.0,66.0,3,1,697.3742686460787,20588.0,710.7463805527138,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
207,725.0,62.0,2,1,705.6331317949237,7748.0,697.6398926981135,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
208,750.0,46.0,1,1,705.6331317949237,5680.0,678.6636365033631,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
