,price,propertyType,size,exterior,rooms,bathrooms,municipality,distance,floor,hasLift
251,700.0,studio,30.0,False,0,1,Madrid,2411,bj,True
252,667.0,flat,70.0,True,1,1,Parla,21185,8,True
253,725.0,flat,45.0,False,1,1,Madrid,10398,1,True
254,550.0,penthouse,70.0,True,3,1,Robledo de Chavela,47595,3,False
255,695.0,flat,55.0,True,3,1,Parla,19765,4,False
256,750.0,flat,105.0,True,3,1,Campo Real,28810,1,False
257,750.0,studio,32.0,True,0,1,Madrid,5006,14,True
258,730.0,flat,80.0,True,3,1,Collado Villalba,35774,4,False
259,710.0,flat,30.0,True,1,1,Madrid,1156,bj,False
260,650.0,flat,58.0,True,1,1,Madrid,5924,4,True
261,600.0,countryHouse,60.0,False,2,2,Villaviciosa de Odón,23776,sin informacion,sin informacion
262,740.0,flat,41.0,True,2,1,Madrid,8358,3,False
263,525.0,flat,40.0,True,1,1,Aranjuez,43059,3,True
264,750.0,studio,35.0,True,0,1,Madrid,1272,4,False
265,750.0,flat,74.0,True,3,1,Alcalá de Henares,29245,2,True
266,710.0,flat,69.0,True,3,1,Alcalá de Henares,28440,5,True
267,560.0,studio,46.0,True,0,1,Madrid,3786,bj,False
268,600.0,flat,42.0,True,1,1,Torrejón de Ardoz,18905,bj,False
269,720.0,flat,44.0,True,1,1,Madrid,3589,ss,False
270,750.0,flat,60.0,True,2,1,Madrid,2591,sin informacion,False
271,750.0,flat,42.0,False,1,1,Madrid,2762,4,True
272,750.0,studio,90.0,True,0,1,Madrid,7228,4,True
273,650.0,studio,45.0,False,0,1,Madrid,3807,bj,True
274,650.0,flat,59.0,True,1,1,Parla,20637,2,True
275,670.0,flat,75.0,True,2,1,Arganda,27056,3,True
276,650.0,flat,45.0,True,1,1,Getafe,12383,2,True
277,750.0,flat,32.0,True,1,1,Madrid,5339,2,True
278,725.0,flat,50.0,True,1,1,Madrid,5564,sin informacion,sin informacion
279,620.0,studio,20.0,False,0,1,Madrid,1893,1,True
280,680.0,flat,35.0,True,1,1,Madrid,3308,bj,False
281,750.0,flat,87.0,True,3,1,Coslada,12519,bj,True
282,670.0,flat,53.0,True,1,1,Getafe,12383,1,True
283,600.0,flat,75.0,True,3,1,Alcalá de Henares,28756,sin informacion,sin informacion
284,750.0,flat,70.0,True,2,1,Alcorcón,12614,4,False
285,700.0,flat,36.0,True,2,1,Pozuelo de Alarcón,9525,3,False
286,695.0,flat,58.0,False,1,1,Madrid,5659,1,True
287,710.0,flat,66.0,True,1,1,Arganda,25013,2,True
288,620.0,flat,80.0,True,2,1,Bustarviejo,49280,2,False
289,700.0,flat,80.0,True,3,1,Collado Mediano,40907,1,False
290,715.0,flat,89.0,True,3,1,Chinchón,39316,bj,False
291,750.0,flat,50.0,True,1,1,Madrid,11203,1,True
292,750.0,flat,45.0,True,1,1,Madrid,8426,2,True
293,550.0,studio,25.0,False,0,1,Madrid,4650,bj,False
294,730.0,flat,60.0,True,1,1,Colmenar Viejo,27803,sin informacion,False
295,750.0,penthouse,46.0,True,2,1,Madrid,3889,4,True
296,700.0,flat,45.0,True,1,1,Coslada,13887,bj,False
297,680.0,flat,85.0,True,2,1,Coslada,13303,bj,True
298,600.0,flat,28.0,False,1,1,Madrid,4418,4,False
299,750.0,flat,80.0,True,2,1,Colmenarejo,30995,1,False
300,700.0,flat,62.0,True,1,1,Alcorcón,13040,2,True
301,690.0,flat,77.0,True,2,1,Madrid,7283,bj,True
302,700.0,flat,50.0,True,1,1,Madrid,7844,bj,False
303,750.0,flat,87.0,True,2,1,Coslada,13773,5,True
304,735.0,flat,51.0,True,1,1,Getafe,14023,4,True
305,700.0,flat,80.0,True,3,1,Móstoles,17777,5,True
306,725.0,flat,75.0,True,3,1,Fuenlabrada,16247,sin informacion,False
307,733.0,flat,68.4,True,2,1,Alcalá de Henares,28541,2,True
308,750.0,flat,36.0,True,1,1,Madrid,4237,bj,True
309,675.0,flat,69.0,True,2,1,Madrid,5656,bj,False
310,650.0,flat,85.0,True,2,1,Guadarrama,43066,2,False
311,730.0,flat,52.0,True,1,1,Madrid,5879,bj,True
312,700.0,flat,97.0,True,1,1,Loeches,24605,bj,True
313,690.0,studio,38.0,False,0,1,Madrid,5798,2,True
314,700.0,flat,70.0,True,2,1,Guadarrama,43166,1,False
315,600.0,duplex,89.0,True,2,2,Miraflores de la Sierra,44474,2,False
316,700.0,studio,25.0,False,0,1,Madrid,691,bj,False
317,690.0,flat,60.0,True,2,1,Sevilla la Nueva,29005,bj,False
318,750.0,duplex,114.0,True,3,3,Serranillos del Valle,28099,1,False
319,700.0,studio,51.0,True,0,1,Madrid,8471,bj,False
320,670.0,flat,61.0,True,1,1,Collado Villalba,35136,bj,True
321,750.0,flat,80.0,True,2,1,Valdemoro,25085,4,True
322,740.0,studio,33.0,True,0,1,Madrid,8322,bj,True
323,750.0,flat,110.0,True,4,2,Colmenar Viejo,27976,1,False
324,750.0,flat,62.0,True,2,1,Madrid,5703,3,False
325,750.0,studio,70.0,True,0,1,San Sebastián de los Reyes,16273,bj,True
326,650.0,studio,28.0,True,0,1,Madrid,5399,bj,False
327,625.0,flat,51.0,True,1,1,Arganda,25010,2,True
328,700.0,flat,35.0,True,1,1,Madrid,2266,bj,True
329,750.0,flat,95.0,True,2,2,Colmenarejo,30759,1,False
330,600.0,studio,25.0,False,0,1,Madrid,3812,bj,False
331,750.0,flat,89.0,True,2,2,Getafe,12878,2,True
332,700.0,flat,55.0,True,1,1,Valdemorillo,32004,1,True
333,750.0,flat,90.0,True,3,2,Campo Real,28736,2,True
334,750.0,flat,48.0,True,2,1,Madrid,6832,2,True
335,625.0,flat,57.0,True,2,1,Aranjuez,43647,bj,False
336,750.0,flat,46.0,True,1,1,San Sebastián de los Reyes,16127,1,False
337,695.0,flat,59.0,True,1,1,Madrid,8595,4,True
338,450.0,flat,40.0,True,1,1,Robledo de Chavela,46273,1,False
339,720.0,flat,58.0,True,2,1,Alcorcón,13451,bj,False
340,745.0,flat,73.0,True,2,1,Alcalá de Henares,28800,2,True
341,720.0,flat,69.6,True,2,1,Alcalá de Henares,28624,2,True
342,750.0,flat,55.0,True,2,1,Madrid,7462,1,False
343,720.0,studio,48.0,True,0,1,Madrid,5808,1,True
344,725.0,studio,44.0,False,0,1,Madrid,1140,8,True
345,750.0,flat,80.0,False,2,1,Madrid,8011,5,True
346,550.0,flat,86.0,True,2,1,Torrelaguna,47448,1,True
347,640.0,flat,69.0,True,2,1,Villalbilla,29311,2,True
348,700.0,flat,54.0,True,1,1,Getafe,11656,1,True
349,700.0,flat,59.0,True,1,1,Madrid,7529,6,True
350,700.0,flat,75.0,True,2,1,Alcalá de Henares,30359,1,False
351,695.0,flat,62.0,False,2,1,Alcobendas,15162,3,False
